ADHD1	ADHD1,COPD1,AFB1
LONELY5	LONELY3,SWB3,NEURO4,LEFTOUT1,FINSAT3,DEP4
LONELY6	LONELY4,SWB4,NEURO5,LEFTOUT1,FINSAT4,DEP5
MENARCHE1	MENARCHE1,VOICEDEEP1
MENARCHE2	MENARCHE2,VOICEDEEP1
MENARCHE3	MENARCHE3,VOICEDEEP1
MENARCHE4	MENARCHE4,VOICEDEEP1
MENARCHE5	MENARCHE5,VOICEDEEP1
NEBmen1	NEBmen1,NEBwomen1,AFB1
NEBmen2	NEBmen2,NEBwomen2,AFB1
NEBmen3	NEBmen2,NEBwomen2,AFB2
NEBmen4	NEBmen3,NEBwomen3,AFB3
NEBmen5	NEBmen4,NEBwomen4,AFB4
NEBmen6	NEBmen5,NEBwomen5,AFB5
NEBwomen1	NEBwomen1,NEBmen1,AFB1
NEBwomen2	NEBwomen2,NEBmen2,AFB1
NEBwomen3	NEBwomen2,NEBmen2,AFB2
NEBwomen4	NEBwomen3,NEBmen3,AFB3
NEBwomen5	NEBwomen4,NEBmen4,AFB4
NEBwomen6	NEBwomen5,NEBmen5,AFB5
NEURO1	NEURO1,DEP1,SWB1,LONELY1
NEURO2	NEURO2,DEP1,SWB1,LONELY1
NEURO3	NEURO2,DEP2,SWB1,LONELY1
NEURO4	NEURO3,DEP3,SWB2,LONELY2
NEURO5	NEURO4,DEP4,SWB3,LONELY3
NEURO6	NEURO5,DEP5,SWB4,LONELY4
RELIGATT1	RELIGATT1,EA1
RELIGATT2	RELIGATT2,EA2
RELIGATT3	RELIGATT3,EA3
RELIGATT4	RELIGATT4,EA4
RISK1	RISK1,ADVENTURE1
RISK2	RISK2,ADVENTURE1
RISK3	RISK3,ADVENTURE1
RISK4	RISK4,ADVENTURE1
SELFHEALTH1	SELFHEALTH1,FINSAT1,COPD1,DEP1
SELFHEALTH2	SELFHEALTH1,FINSAT1,COPD1,DEP2
SELFHEALTH3	SELFHEALTH2,FINSAT2,COPD2,DEP3
SELFHEALTH4	SELFHEALTH3,FINSAT3,COPD3,DEP4
SELFHEALTH5	SELFHEALTH4,FINSAT4,COPD4,DEP5
SELFMATH1	SELFMATH1,HIGHMATH1,CP1
SELFMATH2	SELFMATH1,HIGHMATH1,CP2
SELFMATH3	SELFMATH1,HIGHMATH1,CP3
SELFMATH4	SELFMATH1,HIGHMATH1,CP4
SELFMATH5	SELFMATH1,HIGHMATH1,CP5
SWB1	SWB1,WORKSAT1,NEURO1,LONELY1,LEFTOUT1,FRIENDSAT1,FINSAT1,FAMSAT1,DEP1
SWB2	SWB1,WORKSAT1,NEURO2,LONELY1,LEFTOUT1,FRIENDSAT1,FINSAT1,FAMSAT1,DEP1
SWB3	SWB1,WORKSAT1,NEURO2,LONELY1,LEFTOUT1,FRIENDSAT1,FINSAT1,FAMSAT1,DEP2
SWB4	SWB2,WORKSAT2,NEURO3,LONELY2,LEFTOUT1,FRIENDSAT2,FINSAT2,FAMSAT2,DEP3
SWB5	SWB3,WORKSAT3,NEURO4,LONELY3,LEFTOUT1,FRIENDSAT3,FINSAT3,FAMSAT3,DEP4
SWB6	SWB4,WORKSAT4,NEURO5,LONELY4,LEFTOUT1,FRIENDSAT4,FINSAT4,FAMSAT4,DEP5
VOICEDEEP1	VOICEDEEP1,MENARCHE1
VOICEDEEP2	VOICEDEEP1,MENARCHE2
VOICEDEEP3	VOICEDEEP1,MENARCHE3
VOICEDEEP4	VOICEDEEP1,MENARCHE4
VOICEDEEP5	VOICEDEEP1,MENARCHE5
WORKSAT1	WORKSAT1,SWB1,FRIENDSAT1,FAMSAT1
WORKSAT2	WORKSAT2,SWB2,FRIENDSAT2,FAMSAT2
WORKSAT3	WORKSAT3,SWB3,FRIENDSAT3,FAMSAT3
WORKSAT4	WORKSAT4,SWB4,FRIENDSAT4,FAMSAT4
